YEAR,STATE,AVG_ADM_RATE,AVG_ADM_RATE_ALL
2012,WA,0.710996774,0.694776316
2012,AZ,0.819295455,0.767453571
2012,NM,0.757066667,0.72905
2012,AR,0.691031818,0.695216667
2012,CA,0.692607937,0.684188636
2012,MN,0.707237209,0.717839216
2012,CO,0.74926,0.744532432
2012,CT,0.574957143,0.56327931
2012,NY,0.635709953,0.634247964
2012,DE,0.55918,0.576483333
2012,DC,0.535022222,0.535022222
2012,VA,0.658737879,0.659273529
2012,FL,0.648540476,0.723707438
2012,GA,0.626014925,0.627875325
2012,HI,0.68961,0.663745455
2012,ID,0.82546,0.811990909
2012,IN,0.705770175,0.734194805
2012,TN,0.656501695,0.660678462
2012,MI,0.716213793,0.704979487
2012,IA,0.66475,0.661583784
2012,KS,0.745482143,0.77258125
2012,MO,0.67981129,0.676676812
2012,KY,0.6685125,0.669138889
2012,LA,0.638803226,0.639002941
2012,ME,0.641504762,0.641504762
